JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    65.751,   101.436,   708.970,     7.290,     0.000,     0.000,    14.932,     0.450,   118.593,  1204.309,     1.000,     7.356,   -64.691,    14.087,   291.976,   345.131,    58.004,   -32.381,     0.000,
    65.797,   466.094,   708.970,     7.290,     0.000,     0.000,     0.000,     0.450,   118.593,  1204.309,     1.000,     7.352,   -93.006,     0.000,   282.063,   344.675,    51.798,   -21.404,     0.000,
    65.837,   404.023,   708.971,     7.290,     0.000,     0.000,     0.000,     0.450,   118.594,  1204.309,     1.000,     7.350,  -113.818,     0.000,   269.306,   344.316,    51.661,   -12.853,     0.000,
    65.877,   220.177,   708.972,     7.290,     0.000,     0.000,     0.000,     0.450,   118.595,  1204.309,     1.000,     7.349,  -129.575,     0.000,   260.052,   343.998,    50.410,    -4.781,     0.000,
    65.923,   571.084,   708.973,     7.290,     0.000,     0.000,     0.000,     0.450,   118.596,  1204.309,     1.000,     7.350,  -129.266,     0.000,   257.148,   343.779,    44.425,    -1.789,     0.000,
    65.963,   507.793,   708.974,     7.290,     0.000,     0.000,     0.000,     0.450,   118.597,  1204.309,     1.000,     7.351,  -132.220,     0.000,   257.294,   343.609,    47.874,    -1.970,     0.000,
    66.001,    86.288,   708.974,     7.290,     0.000,     0.000,     0.000,     0.450,   118.597,  1204.309,     1.000,     7.352,  -136.332,     0.000,   254.372,   343.410,    46.541,     0.753,     0.000,
    66.043,   125.073,   708.975,     7.290,     0.000,     0.000,     0.000,     0.450,   118.598,  1204.309,     1.000,     7.354,  -138.898,     0.000,   251.646,   343.222,    44.055,     3.267,     0.000,
    66.088,   474.966,   708.976,     7.290,     0.000,     0.000,     0.000,     0.450,   118.599,  1204.309,     1.000,     7.357,  -132.508,     0.000,   254.984,   343.080,    44.036,     0.376,     0.000,
    66.130,   451.234,   708.977,     7.290,     0.000,     0.000,     0.000,     0.450,   118.600,  1204.309,     1.000,     7.359,  -153.039,     0.000,   246.362,   342.962,    47.409,     9.030,     0.000,
